"EW","AE","2007-09-20"
"EW","AV","2003-03-28"
"EW","B","1991-06-28"
"EW","BA","1992-05-30"
"EW","BF","2004-11-17"
"EW","BH","1991-06-28"
"EW","BL","2006-11-08"
"EW","BT","1991-06-28"
"EW","BW","1992-05-25"
"EW","BX","2004-11-04"
"EW","BZ","2000-05-01"
"EW","C","1991-06-28"
"EW","CA","2002-03-26"
"EW","CC","2002-03-26"
"EW","CD","1992-05-25"
"EW","CG","1992-05-30"
"EW","CH","1991-06-28"
"EW","CK","1992-05-30"
"EW","CM","1992-05-30"
"EW","CN","2005-10-19"
"EW","CO","1992-05-23"
"EW","CS","1991-06-29"
"EW","CT","2004-10-14"
"EW","CU","1991-06-28"
"EW","CV","2005-09-24"
"EW","CW","2004-03-17"
"EW","CX","1995-05-02"
"EW","D","1992-02-01"
"EW","DB","2005-10-23"
"EW","DN","1991-07-20"
"EW","DR","2000-09-21"
"EW","ET","1995-05-15"
"EW","FF","2004-03-04"
"EW","FP","1991-06-28"
"EW","G","2006-08-03"
"EW","GA","2002-05-15"
"EW","GB","1991-06-28"
"EW","GC","2004-03-06"
"EW","GD","2007-11-16"
"EW","GE","1991-07-20"
"EW","GG","2003-03-25"
"EW","GH","2008-04-23"
"EW","GJ","2004-04-25"
"EW","GK","2000-09-22"
"EW","GL","2001-09-16"
"EW","GO","1991-06-28"
"EW","GP","2004-12-02"
"EW","GR","1992-05-30"
"EW","GS","2004-11-14"
"EW","GT","1991-06-29"
"EW","GV","1992-02-01"
"EW","GW","2008-09-17"
"EW","GX","2008-06-22"
"EW","GY","1992-05-23"
"EW","H","1991-06-29"
"EW","HD","2004-07-30"
"EW","HG","1991-06-28"
"EW","HH","2007-11-20"
"EW","HM","1991-06-28"
"EW","HS","1991-06-28"
"EW","HY","2005-09-04"
"EW","J","2004-08-07"
"EW","JD","1991-06-28"
"EW","JS","2004-02-23"
"EW","K","1991-06-29"
"EW","KF","2004-02-16"
"EW","KN","2004-04-13"
"EW","L","1991-06-29"
"EW","LB","1991-06-28"
"EW","LG","2000-09-21"
"EW","LI","1991-06-28"
"EW","LO","2006-10-23"
"EW","LR","2005-09-25"
"EW","LS","2007-10-17"
"EW","LT","2003-03-25"
"EW","LU","1995-05-30"
"EW","LW","1991-06-29"
"EW","M","1995-01-12"
"EW","MA","1991-06-28"
"EW","MG","1991-06-28"
"EW","MH","1991-06-28"
"EW","ML","2004-08-05"
"EW","MP","1991-06-28"
"EW","MS","2002-03-26"
"EW","MX","2008-06-22"
"EW","OC","1991-06-28"
"EW","OP","2002-05-10"
"EW","P","1992-05-30"
"EW","PE","2000-05-06"
"EW","PF","2006-07-22"
"EW","PH","2004-11-21"
"EW","PO","2005-05-10"
"EW","PT","2000-05-06"
"EW","PW","1991-06-29"
"EW","R","1992-02-01"
"EW","RB","1991-06-28"
"EW","RC","2003-03-13"
"EW","RE","2004-02-16"
"EW","RI","2004-11-07"
"EW","RK","1991-06-29"
"EW","RN","2000-05-01"
"EW","RO","2000-05-01"
"EW","RP","2000-05-06"
"EW","RT","2006-08-15"
"EW","RW","1991-06-28"
"EW","RZ","2005-10-19"
"EW","S","1991-06-29"
"EW","SC","1992-02-01"
"EW","SD","1992-05-25"
"EW","SE","2000-05-01"
"EW","SF","1991-06-28"
"EW","SG","1991-06-28"
"EW","SH","1991-06-28"
"EW","SI","1991-06-28"
"EW","SJ","2004-07-30"
"EW","SK","2004-08-05"
"EW","SL","1991-06-28"
"EW","SM","1995-08-28"
"EW","SN","1992-02-01"
"EW","SS","2007-08-16"
"EW","ST","1992-05-25"
"EW","SU","1991-06-28"
"EW","SV","1992-05-30"
"EW","SW","1991-06-29"
"EW","T","2000-09-21"
"EW","TE","2006-08-16"
"EW","TL","2006-12-04"
"EW","TM","2008-06-22"
"EW","TO","2007-07-06"
"EW","TP","2006-08-14"
"EW","TS","1991-06-29"
"EW","TT","2004-10-17"
"EW","TU","1995-03-12"
"EW","UA","2008-04-07"
"EW","W","2000-05-12"
"EW","WA","2002-03-27"
"EW","WC","2005-09-18"
"EW","WH","1991-06-28"
"EW","WI","2005-11-22"
"EW","WM","1992-05-25"
"EW","WN","2003-03-13"
"EW","WP","1991-06-29"
"EW","WR","1992-02-01"
"EW","WW","1991-06-28"
"EW","YG","2006-09-21"
"EW","YW","1991-06-28"
